text,label
Indent raised for 5 filing cabinets,Indent
Indent raised for 5 projectors and screens,Indent
Indent raised for employee ID card printing,Indent
Indent raised for ergonomic chairs,Indent
Indent raised for extension cords and adapters,Indent
Indent raised for external hard drives,Indent
Indent raised for headphones and microphones,Indent
Indent raised for new server racks,Indent
Indent raised for printers and scanners,Indent
Indent raised for project documentation kits,Indent
Indent raised for purchase of 11 keyboards (Indent Ref 77),Indent
Indent raised for purchase of 11 office chairs (Indent Ref 65),Indent
Indent raised for purchase of 12 desktops (Indent Ref 27),Indent
Indent raised for purchase of 12 external hard drives (Indent Ref 90),Indent
Indent raised for purchase of 13 office chairs (Indent Ref 54),Indent
Indent raised for purchase of 17 air conditioners (Indent Ref 82),Indent
Indent raised for purchase of 17 keyboards (Indent Ref 4),Indent
Indent raised for purchase of 19 external hard drives (Indent Ref 5),Indent
Indent raised for purchase of 2 external hard drives (Indent Ref 37),Indent
Indent raised for purchase of 20 keyboards (Indent Ref 91),Indent
Indent raised for purchase of 23 external hard drives (Indent Ref 15),Indent
Indent raised for purchase of 23 servers (Indent Ref 30),Indent
Indent raised for purchase of 23 servers (Indent Ref 98),Indent
Indent raised for purchase of 24 servers (Indent Ref 9),Indent
Indent raised for purchase of 25 conference tables (Indent Ref 33),Indent
Indent raised for purchase of 25 keyboards (Indent Ref 29),Indent
Indent raised for purchase of 25 laser printers (Indent Ref 47),Indent
Indent raised for purchase of 25 monitors (Indent Ref 39),Indent
Indent raised for purchase of 3 keyboards (Indent Ref 97),Indent
Indent raised for purchase of 3 office chairs (Indent Ref 85),Indent
Indent raised for purchase of 4 external hard drives (Indent Ref 44),Indent
Indent raised for purchase of 5 keyboards (Indent Ref 21),Indent
Indent raised for purchase of 5 keyboards (Indent Ref 32),Indent
Indent raised for purchase of 5 servers (Indent Ref 71),Indent
Indent raised for purchase of 6 conference tables (Indent Ref 55),Indent
Indent raised for purchase of 8 laser printers (Indent Ref 72),Indent
Indent raised for UPS systems,Indent
Indent raised for WiFi access points,Indent
Indent request for 1 laser printers for department use (Indent Ref 60),Indent
Indent request for 1 servers for department use (Indent Ref 10),Indent
Indent request for 10 air conditioners for department use (Indent Ref 94),Indent
Indent request for 10 reams of A4 paper and 5 staplers,Indent
Indent request for 10 reams of A4 paper and 5 staplers,Indent
Indent request for 10 routers and switches,Indent
Indent request for 13 office chairs for department use (Indent Ref 70),Indent
Indent request for 13 office chairs for department use (Indent Ref 95),Indent
Indent request for 14 conference tables for department use (Indent Ref 14),Indent
Indent request for 17 conference tables for department use (Indent Ref 51),Indent
Indent request for 17 desktops for department use (Indent Ref 3),Indent
Indent request for 19 laser printers for department use (Indent Ref 18),Indent
Indent request for 2 air conditioners,Indent
Indent request for 2 monitors for department use (Indent Ref 61),Indent
Indent request for 21 monitors for department use (Indent Ref 53),Indent
Indent request for 22 servers for department use (Indent Ref 52),Indent
Indent request for 23 air conditioners for department use (Indent Ref 38),Indent
Indent request for 23 laser printers for department use (Indent Ref 34),Indent
Indent request for 25 desktops for department use (Indent Ref 43),Indent
Indent request for 3 desktops for department use (Indent Ref 76),Indent
Indent request for 3 office chairs for department use (Indent Ref 31),Indent
Indent request for 3 refrigerators,Indent
Indent request for 4 monitors for department use (Indent Ref 80),Indent
Indent request for 4 stationery packs for department use (Indent Ref 48),Indent
Indent request for 5 whiteboards,Indent
Indent request for 50 notepads and 100 pens,Indent
Indent request for 6 external hard drives for department use (Indent Ref 63),Indent
Indent request for 6 laser printers for department use (Indent Ref 16),Indent
Indent request for 7 stationery packs for department use (Indent Ref 100),Indent
Indent request for 9 office chairs for department use (Indent Ref 58),Indent
Indent request for biometric attendance machine,Indent
Indent request for conference hall chairs,Indent
Indent request for desktop computers,Indent
Indent request for digital cameras,Indent
Indent request for LCD projectors,Indent
Indent request for projector lamps,Indent
Indent request for sanitary supplies,Indent
Indent request for server backup system,Indent
Indent request for shredding machines,Indent
Indent request for spiral binders and folders,Indent
Indent request for toner cartridges,Indent
Indent request for whiteboard markers,Indent
PO raised for 3 laptops as per indent,Indent
PO raised for 3 laptops as per indent,Indent
Request placed for supply of 10 office chairs (Indent Ref 73),Indent
Request placed for supply of 11 desktops (Indent Ref 1),Indent
Request placed for supply of 11 keyboards (Indent Ref 20),Indent
Request placed for supply of 12 air conditioners (Indent Ref 57),Indent
Request placed for supply of 13 air conditioners (Indent Ref 67),Indent
Request placed for supply of 13 desktops (Indent Ref 50),Indent
Request placed for supply of 13 keyboards (Indent Ref 12),Indent
Request placed for supply of 14 air conditioners (Indent Ref 42),Indent
Request placed for supply of 17 air conditioners (Indent Ref 11),Indent
Request placed for supply of 2 laser printers (Indent Ref 92),Indent
Request placed for supply of 22 conference tables (Indent Ref 35),Indent
Request placed for supply of 22 servers (Indent Ref 46),Indent
Request placed for supply of 22 servers (Indent Ref 81),Indent
Request placed for supply of 23 monitors (Indent Ref 66),Indent
Request placed for supply of 4 monitors (Indent Ref 87),Indent
Request placed for supply of 5 laser printers (Indent Ref 69),Indent
Request placed for supply of 8 monitors (Indent Ref 68),Indent
Indent request for 10 office chairs and 2 tables,Indent
Indent raised for 5 desktop computers for IT lab,Indent
Indent request for 20 reams of A4 paper and 50 pens,Indent
Indent for 3 projectors and screens for training hall,Indent
Indent raised for 2 air conditioners for conference room,Indent
Indent request for 5 routers and 10 LAN switches,Indent
Indent for 15 ergonomic office chairs,Indent
Indent request for 4 printers and 20 toner cartridges,Indent
Indent raised for 50 notepads and 100 staplers,Indent
Indent request for 3 servers for data center,Indent
Indent for 25 office tables and 30 chairs,Indent
Indent raised for 10 external hard drives,Indent
Indent request for 2 biometric attendance machines,Indent
Indent raised for 15 whiteboards,Indent
Indent for 20 calculators for finance department,Indent
Indent request for 200 envelopes and 100 files,Indent
Indent for 4 scanners for document processing,Indent
Indent raised for 12 ceiling fans,Indent
Indent request for 8 UPS backup systems,Indent
Indent raised for 2 shredding machines,Indent
Indent for 10 wall clocks for departments,Indent
Indent raised for 3 LCD televisions for training hall,Indent
Indent request for 4 refrigerators for pantry,Indent
Indent for 30 table fans for office cabins,Indent
Indent raised for 2 water coolers,Indent
Indent request for 100 ID card holders,Indent
Indent raised for 20 extension cords,Indent
Indent for 2 generators for backup power,Indent
Indent request for 6 conference tables,Indent
Indent raised for 10 desktop chairs for HR,Indent
Indent request for 5 laptop bags,Indent
Indent for 100 visiting card holders,Indent
Indent raised for 8 filing cabinets,Indent
Indent request for 15 keyboards and 15 mice,Indent
Indent for 12 LED bulbs for corridor,Indent
Indent raised for 4 projectors,Indent
Indent request for 5 staplers and 500 pins,Indent
Indent raised for 20 spiral binders,Indent
Indent request for 2 photocopiers,Indent
Indent for 10 lockers for staff,Indent
Indent raised for 5 mobile phones,Indent
Indent request for 3 smart TVs,Indent
Indent for 15 headphones,Indent
Indent raised for 25 mouse pads,Indent
Indent request for 200 printing papers,Indent
Indent for 3 servers for cloud testing,Indent
Indent raised for 7 wall-mounted shelves,Indent
Indent request for 10 calculators,Indent
Indent raised for 2 coffee machines,Indent
Indent for 50 writing pads,Indent
Indent request for 100 envelopes,Indent
Indent for 3 biometric machines,Indent
Indent raised for 20 whiteboard markers,Indent
Indent request for 5 microphones,Indent
Indent raised for 2 conference phones,Indent
Indent request for 4 digital cameras,Indent
Indent for 2 water purifiers,Indent
Indent raised for 10 staplers,Indent
Indent request for 25 highlighters,Indent
Indent raised for 6 LED projectors,Indent
Indent request for 8 air purifiers,Indent
Indent for 2 shredders,Indent
Indent raised for 100 clip files,Indent
Indent request for 12 registers,Indent
Indent raised for 7 floor mats,Indent
Indent request for 2 speakers,Indent
Indent for 15 wall calendars,Indent
Indent raised for 3 smart boards,Indent
Indent request for 10 portable fans,Indent
Indent for 20 table lamps,Indent
Indent raised for 30 marker pens,Indent
Indent request for 5 hard disks,Indent
Indent for 8 wireless keyboards,Indent
Indent raised for 2 project screens,Indent
Indent request for 6 extension boards,Indent
Indent for 10 stapler pins,Indent
Indent raised for 4 CPU cabinets,Indent
Indent request for 5 digital clocks,Indent
Indent for 12 book racks,Indent
Indent raised for 2 scanners,Indent
Indent request for 8 ceiling lights,Indent
Indent for 20 pens,Indent
Indent raised for 2 laptops,Indent
Indent request for 3 shredding machines,Indent
Indent for 10 punch machines,Indent
Indent raised for 50 chart papers,Indent
Indent request for 4 modems,Indent
Indent for 2 laminating machines,Indent
Indent raised for 12 staplers,Indent
Indent request for 30 envelopes,Indent
Indent raised for 8 UPS batteries,Indent
Indent for 3 lockers,Indent
Indent raised for 2 printers,Indent
Indent request for 12 markers,Indent
Indent raised for 15 notebooks,Indent
Indent request for 3 conference chairs,Indent
Indent raised for 10 packing tapes,Indent
Indent for 6 external monitors,Indent
Indent raised for 2 fire extinguishers,Indent
Indent request for 12 ergonomic chairs for the HR department,Indent
Indent raised for 3 high-speed scanners,Indent
Indent request for 6 laptops for project staff,Indent
Indent raised for 15 whiteboards for classrooms,Indent
Indent request for 4 refrigerators for pantry use,Indent
Indent request for 50 notepads and 100 pens,Indent
Indent raised for 2 shredding machines,Indent
Indent request for 5 biometric attendance devices,Indent
Indent request for 3 projectors and projection screens,Indent
Indent raised for 20 office tables and chairs,Indent
Indent request for 12 ergonomic chairs for the HR department,Indent
Indent raised for 3 high-speed scanners,Indent
Indent request for 6 laptops for project staff,Indent
Indent raised for 15 whiteboards for classrooms,Indent
Indent request for 4 refrigerators for pantry use,Indent
Indent request for 50 notepads and 100 pens,Indent
Indent raised for 2 shredding machines,Indent
Indent request for 5 biometric attendance devices,Indent
Indent request for 3 projectors and projection screens,Indent
Indent raised for 20 office tables and chairs,Indent
Indent request for 8 filing cabinets for records section,Indent
Indent raised for 10 conference microphones,Indent
Indent request for 2 laminating machines,Indent
Indent raised for 12 wall clocks,Indent
Indent request for 10 spiral binders and folders,Indent
Indent raised for 7 lockers for staff quarters,Indent
Indent request for 3 shredding machines,Indent
Indent raised for 6 air purifiers,Indent
Indent request for 10 staplers and 500 pins,Indent
Indent raised for 15 mouse pads,Indent
Indent request for 5 extension boards,Indent
Indent raised for 6 ergonomic chairs for new staff,Indent
Indent request for 12 A4 reams and 20 staplers,Indent
Indent request for 8 laptops and 2 printers,Indent
Indent raised for 5 whiteboards and 10 markers,Indent
Indent request for 2 shredding machines,Indent
Indent raised for 50 diaries and 200 pens,Indent
Indent request for 10 office chairs and tables,Indent
Indent request for 4 refrigerators for staff canteen,Indent
Indent request for 3 high-speed scanners,Indent
Indent raised for 20 office tables and 30 chairs,Indent
Indent request for 5 biometric devices,Indent
Indent raised for 15 projectors with screens,Indent
Indent request for 12 chairs and desks,Indent
Indent raised for 4 shredding machines,Indent
Indent request for 6 office cupboards,Indent
Indent raised for 20 ergonomic chairs,Indent
Indent request for 2 shredding machines,Indent
Indent request for 8 office telephones,Indent
Indent raised for 12 reams of A4 paper,Indent
Indent request for 5 biometric attendance devices,Indent
Indent request for 7 LED projectors for classrooms,Indent
Indent raised for 30 visitor chairs,Indent
Indent request for 5 digital copiers,Indent
Indent raised for 100 ID card lanyards,Indent
Indent request for 20 computer desks,Indent
Indent raised for 15 executive office chairs,Indent
Indent request for 40 desk organizers,Indent
Indent raised for 6 ceiling fans for guest house,Indent
Indent request for 5 water dispensers,Indent
Indent raised for 12 Wi-Fi routers,Indent
Indent request for 7 shredders and dustbins,Indent
Indent raised for 10 projectors with screens,Indent
Indent request for 30 mouse pads and keyboards,Indent
Indent raised for 25 diary planners,Indent
Indent request for 10 fire extinguishers,Indent
Indent raised for 2 water purifiers,Indent
Indent request for 8 filing cabinets,Indent
Indent raised for 10 wireless headphones,Indent
Indent request for 6 ergonomic tables,Indent
Indent raised for 50 letter pads,Indent
Indent raised for 20 high-performance servers for CDAC HPC lab,Indent
Indent request for 15 biometric devices for CDAC e-Governance project,Indent
Indent raised for 10 video conferencing kits for CDAC centers,Indent
Indent request for 50 Raspberry Pi kits for IoT training,Indent
Indent raised for 25 laptops for CDAC digital literacy program,Indent
Indent request for 100 smart ID cards for trainees,Indent
Indent raised for 15 TB external drives for project archiving,Indent
Indent request for 8 printers for CDAC academic block,Indent
Indent raised for 200 training kits for PG-Diploma batches,Indent
Indent request for 10 projectors for lecture halls,Indent
Indent raised for 6 UPS systems for training labs,Indent
Indent request for 12 tablets for digital classroom,Indent
Indent raised for 50 routers for skill centers,Indent
Indent request for 15 lab benches for electronics training,Indent
Indent raised for 30 monitors for AI/ML lab,Indent
Indent request for 20 headphones for multimedia lab,Indent
Indent raised for 10 cooling units for server rooms,Indent
Indent request for 40 switches for networking lab,Indent
Indent raised for 70 development boards for IoT labs,Indent
Indent request for 10 digital cameras for research,Indent
Indent request for 25 desktop systems for CDAC R&D division,Indent
Indent raised for 10 conference tables for CDAC auditorium,Indent
Indent request for 5 biometric attendance machines for regional centers,Indent
Indent raised for 8 UPS systems for server room backup,Indent
Indent request for 20 ergonomic chairs for HPC lab,Indent
Indent raised for 4 projectors for training classrooms,Indent
Indent request for 2 photocopiers for admin block,Indent
Indent request for 15 printers for regional offices,Indent
Indent raised for 12 scanners for project use,Indent
Indent request for 20 data cables for network setup,Indent
Indent raised for 30 office chairs at CDAC HQ,Indent
Indent request for 8 smart boards for training halls,Indent
Indent raised for 25 racks for server storage,Indent
Indent request for 10 whiteboards for classrooms,Indent
Indent request for 5 tablets for project monitoring,Indent
Indent raised for 10 routers for lab setup,Indent
Indent request for 50 office chairs for new lab,Indent
Indent raised for 6 laptops for staff,Indent
Indent request for 4 AC units for office rooms,Indent
Indent raised for 20 desktops for AI lab,Indent
Indent request for 50 workstations for newly allocated office space,Indent
Indent raised for 20 AC units for research labs,Indent
Indent request for 5 servers for data center setup,Indent
Indent request for 30 office chairs and 15 tables,Indent
Indent raised for 200 LED lights for building floors,Indent
Indent request for 15 desktop computers for admin staff,Indent
Indent raised for 5 conference tables,Indent
Indent request for 3 printers and 2 scanners,Indent
Indent raised for 10 smart TVs for conference halls,Indent
Indent request for 15 laptops for research scholars,Indent
Indent raised for 10 cupboards for storage rooms,Indent
Indent request for 4 refrigerators for pantry,Indent
Indent raised for 6 projectors for training rooms,Indent
Indent request for 40 whiteboards for classrooms,Indent
Indent raised for 10 filing cabinets,Indent
Indent request for 20 ergonomic chairs,Indent
Indent raised for 12 biometric attendance devices,Indent
Indent request for 5 laptops for HR team,Indent
Indent raised for 3 shredding machines,Indent
Indent request for 25 desktops for lab setup,Indent
Commercial invoice for goods shipped on 12th March,Invoice
Invoice for annual subscription of cloud services,Invoice
Invoice for delivery of backup tapes,Invoice
Invoice for generator fuel supply,Invoice
Invoice for hardware maintenance services,Invoice
Invoice for laptop repair and parts,Invoice
Invoice for marketing consultancy charges,Invoice
Invoice for medical supplies delivered,Invoice
Invoice for office maintenance work,Invoice
Invoice for office pantry supplies,Invoice
Invoice for supply of kitchen equipment,Invoice
Invoice for supply of printer cartridges,Invoice
Invoice for training materials and books,Invoice
Invoice for training program participation fee,Invoice
Invoice INV-250 for housekeeping contract,Invoice
Invoice INV-302 for stationery items,Invoice
Invoice INV-312 for HVAC system maintenance,Invoice
Invoice issued for annual IT maintenance contract,Invoice
Invoice issued for canteen management services,Invoice
Invoice issued for consultancy on policy drafting,Invoice
Invoice issued for newspaper subscription,Invoice
Invoice issued for software customization,Invoice
Invoice number INV-123 for website development,Invoice
Invoice number INV-202 for security services,Invoice
Invoice number INV-654 for office furniture purchase,Invoice
Invoice number INV-720 for consultancy retainer,Invoice
Invoice number INV-789 for recruitment consultancy,Invoice
Invoice number INV-800 for freight charges,Invoice
Invoice number INV-999 for auditing services,Invoice
Please find enclosed the invoice #INV-234 with GST and amount due 45,Invoice
Tax invoice issued as per GST Act,Invoice
Tax invoice issued as per GST Act,Invoice
Invoice INV-784 issued for annual subscription of antivirus software,Invoice
Invoice INV-451 raised for digital marketing consultancy services,Invoice
Invoice INV-932 for design and printing of office brochures,Invoice
Invoice INV-505 for supply of networking cables,Invoice
Invoice INV-660 for website development services,Invoice
Invoice INV-711 raised for auditing consultancy,Invoice
Invoice INV-303 issued for HVAC system maintenance,Invoice
Invoice INV-887 raised for consultancy retainership,Invoice
Invoice INV-624 for cloud hosting subscription renewal,Invoice
Invoice INV-980 for generator fuel delivery,Invoice
Invoice INV-784 issued for annual subscription of antivirus software,Invoice
Invoice INV-451 raised for digital marketing consultancy services,Invoice
Invoice INV-932 for design and printing of office brochures,Invoice
Invoice INV-505 for supply of networking cables,Invoice
Invoice INV-660 for website development services,Invoice
Invoice INV-711 raised for auditing consultancy,Invoice
Invoice INV-303 issued for HVAC system maintenance,Invoice
Invoice INV-887 raised for consultancy retainership,Invoice
Invoice INV-624 for cloud hosting subscription renewal,Invoice
Invoice INV-980 for generator fuel delivery,Invoice
Invoice INV-445 for supply of fire extinguishers,Invoice
Invoice INV-320 raised for medical supply delivery,Invoice
Invoice INV-221 for branding and publicity work,Invoice
Invoice INV-555 issued for fire safety training workshop,Invoice
Invoice INV-812 for annual membership renewal of library,Invoice
Invoice INV-370 for translation of technical documents,Invoice
Invoice INV-644 raised for courier logistics partner,Invoice
Invoice INV-913 issued for consultancy on HR policy drafting,Invoice
Invoice INV-510 raised for UPS system maintenance,Invoice
Invoice INV-122 issued for cloud backup services,Invoice
Invoice INV-702 raised for employee health checkup program,Invoice
Invoice INV-145 issued for annual software licensing,Invoice
Invoice INV-672 raised for digital training modules,Invoice
Invoice INV-314 for purchase of IT hardware servers,Invoice
Invoice INV-759 raised for supply of UPS batteries,Invoice
Invoice INV-901 for professional consultancy fees,Invoice
Invoice INV-528 issued for event photography services,Invoice
Invoice INV-845 for data recovery services,Invoice
Invoice INV-430 for cloud hosting subscription,Invoice
Invoice INV-923 issued for design brochure printing,Invoice
Invoice INV-576 raised for web development services,Invoice
Invoice INV-204 issued for professional auditing services,Invoice
Invoice INV-648 raised for HVAC repair contract,Invoice
Invoice INV-832 for annual website hosting,Invoice
Invoice INV-377 for subscription of antivirus tools,Invoice
Invoice INV-965 raised for staff training services,Invoice
Invoice INV-492 for consultancy retainership services,Invoice
Invoice INV-889 for installation of CCTV cameras,Invoice
Invoice INV-540 issued for graphic design services,Invoice
Invoice INV-274 raised for website content writing,Invoice
Invoice INV-715 for subscription of cloud storage,Invoice
Invoice INV-611 issued for conference registration fees,Invoice
Invoice INV-452 raised for interior design consultancy,Invoice
Invoice INV-784 for annual ERP software subscription,Invoice
Invoice INV-335 raised for office relocation services,Invoice
Invoice INV-950 for purchase of IT accessories,Invoice
Invoice INV-523 issued for software bug fixing,Invoice
Invoice INV-801 raised for digital marketing package,Invoice
Invoice INV-206 issued for mobile app development,Invoice
Invoice INV-674 raised for annual HR consultancy fees,Invoice
Invoice INV-942 issued for event management services,Invoice
Invoice INV-511 for social media management services,Invoice
Invoice INV-807 raised for HR payroll outsourcing,Invoice
Invoice INV-421 for staff transport contract,Invoice
Invoice INV-978 raised for professional proofreading services,Invoice
Invoice INV-663 issued for industrial training fees,Invoice
Invoice INV-375 raised for system security audit,Invoice
Invoice INV-899 issued for subscription of project tools,Invoice
Invoice INV-268 raised for graphic video production,Invoice
Invoice INV-755 issued for AI training services,Invoice
Invoice INV-442 for legal consultancy retainership,Invoice
Invoice INV-1001 issued for CDAC training program fees,Invoice
Invoice INV-1002 raised for software license renewal (CDAC project),Invoice
Invoice INV-1003 raised for consultancy provided to state e-Governance dept,Invoice
Invoice INV-1004 for training conducted under NIELIT-CDAC MoU,Invoice
Invoice INV-1005 issued for cloud consultancy for govt dept,Invoice
Invoice INV-1006 for GPU server rental to research collaborators,Invoice
Invoice INV-1007 issued for cloud hosting provided to startups,Invoice
Invoice INV-1008 raised for AI workshop participation fees,Invoice
Invoice INV-1009 for government project consultancy fees,Invoice
Invoice INV-1010 issued for AI model deployment services,Invoice
Invoice INV-1011 raised for digital library setup fees,Invoice
Invoice INV-1012 issued for cloud credits purchased,Invoice
Invoice INV-1013 raised for consulting on AI ethics framework,Invoice
Invoice INV-1014 issued for hardware integration services,Invoice
Invoice INV-1015 for language computing project services,Invoice
Invoice INV-1016 raised for GIS project consultancy,Invoice
Invoice INV-1017 issued for HPC consulting services,Invoice
Invoice INV-1018 raised for e-Governance project support,Invoice
Invoice INV-1019 issued for software localization services,Invoice
Invoice INV-1020 raised for collaboration with state IT dept,Invoice
Invoice INV-301 raised for AI training program hosted by CDAC Pune,Invoice
Invoice INV-302 for licensing fee of MATLAB for research labs,Invoice
Invoice INV-303 issued for consultancy on cybersecurity project,Invoice
Invoice INV-304 for maintenance of software licenses,Invoice
Invoice INV-305 raised for subscription of cloud compute credits,Invoice
Invoice INV-306 issued for project management consultancy services,Invoice
Invoice INV-307 for server maintenance services,Invoice
Invoice INV-308 raised for AI workshop consultancy,Invoice
Invoice INV-309 for e-learning portal maintenance,Invoice
Invoice INV-310 issued for training program on IoT,Invoice
Invoice INV-311 for technical support of ERP software,Invoice
Invoice INV-312 for supply of printed journals,Invoice
Invoice INV-313 raised for R&D partnership consultancy,Invoice
Invoice INV-314 issued for digital marketing of CDAC event,Invoice
Invoice INV-315 raised for project documentation services,Invoice
Invoice INV-316 for training on quantum computing,Invoice
Invoice INV-317 for annual renewal of firewall subscription,Invoice
Invoice INV-318 raised for consulting on AI ethics,Invoice
Invoice INV-319 issued for mobile app development,Invoice
Invoice INV-320 raised for web development workshop,Invoice
Invoice INV-1001 for civil construction services at CDAC Guwahati Research Park,Invoice
Invoice INV-1002 issued for networking equipment supply,Invoice
Invoice INV-1003 raised for CCTV surveillance system,Invoice
Invoice INV-1004 for branding and signage work,Invoice
Invoice INV-1005 raised for cloud service subscription,Invoice
Invoice INV-1006 for HVAC maintenance contract,Invoice
Invoice INV-1007 issued for flooring and carpeting work,Invoice
Invoice INV-1008 for UPS and backup systems,Invoice
Invoice INV-1009 issued for interior decoration services,Invoice
Invoice INV-1010 raised for external audit charges,Invoice
Invoice INV-1011 for printing annual reports,Invoice
Invoice INV-1012 for supply of office stationary,Invoice
Invoice INV-1013 raised for legal consultancy services,Invoice
